10/19/2007 15:00:00,Banks,OR,Sphere,8 Seconds,SR-71's over Washington County? I dont think so!,11/28/2007
10/15/2007 22:30:00,Lincoln Beach,OR,Other,30 sec,Large Invisible flying V shaped aircraft.,11/28/2007
10/14/2007 0:40:00,Westfir,OR,Unknown,6 seconds,I saw a streak of light in the sky.,11/28/2007
10/13/2007 15:30:00,Ashland,OR,Light,1/2 hour,very bright greenish blue light the size of a large star moving slowly NW to SE and back again gaining altitude for 1/2 hour at 3:30,11/28/2007
10/11/2007 16:00:00,Clackamas,OR,Circle,15 minutes,Silver circular or sphere-like object flying parallel to I-205 in the Gladstone/Clackamas area.,11/28/2007
10/11/2007 10:10:00,Carlton,OR,Cylinder,15min,it was not anything thath we have,11/28/2007
10/10/2007 1:00:00,Lebanon,OR,Light,4 hours,"Small Orange-White ""star"" that moves around in circles, up, down, and sideways fast in the night sky",11/28/2007
10/5/2007 22:00:00,Milton-Freewater,OR,Light,1 hour,"Dancing balls of light, each the size of a full moon, viewed for over an hour from Milton-Freewater, Oregon, Friday, October 5th, 2007.",10/8/2007
10/5/2007 20:00:00,Salem,OR,Other,2 to 3 minutes,I saw a flying craft that was unlike anything I've ever seen.,11/28/2007
10/4/2007 6:00:00,Otis,OR,Unknown,1 second,You need to take a look at this,11/28/2007
9/26/2007 23:00:00,Aloha,OR,Diamond,5 minutes,"I was walking from my house, the local shopping center, and I looked up and saw what I at first thought was bright star, or maybe an a",10/8/2007
9/25/2007 6:00:00,Damascus,OR,Circle,1 + hours,"Huge ball of light seen in eastern sky at 6 am Sept 25, 2007 east of Gresham, Oregon.",10/8/2007
9/24/2007 22:30:00,Salem,OR,Light,15 seconds,"No aircraft could have hovered so high, nor ascended vertically so quickly.",10/8/2007
9/22/2007 22:00:00,Lebanon,OR,Fireball,around 1 minute,"Silent red and orange energy fireball glides just over tree tops in forested backyard outside of Lebanon, Oregon",10/8/2007
9/20/2007 20:00:00,Coos Bay,OR,Cigar,10 -13 minutes,"The cigar shaped object, possibly hundreds of feet long, flew slowly along the Pacific coastline.",11/28/2007
9/18/2007 2:00:00,Portland,OR,Light,Few seconds,Earth shaking explosion followed by bluish green glow on hill above home.,10/8/2007
9/15/2007 22:00:00,Albany,OR,Formation,few seconds,Red & orange brightly lit object glides by home seen through window,11/28/2007
9/15/2007 13:00:00,Roseburg,OR,Sphere,20 sec,Silvery sphere observed flying in a non-linear path; I'm convinced it was a UFO.,11/28/2007
9/11/2007 21:40:00,Medford,OR,Triangle,5 to 6 seconds,"A triangular set of three dim or orange lights were seen moving very fast and silently across the night sky over Medford, Oregon.",10/8/2007
