1981,Beaverton,OR,Cigar,10 sec,"DAYTIME SIGHTING long, black, no features, like a pencil, no sound. no lights.",45.4871,-122.8037
1981,"Detroit/Warm Springs (between, Cascade Mts.)",OR,Cigar,one hour,Single small vehicle left main body and followed us in a hovering helicopter fashion for over 45 minutes while we were walking from the,44.7340,-122.1498
1981,Sherwood,OR,Other,about 15 sec,"Two flying wings (?) over Sherwood, OR night sky.",45.3565,-122.8401
1981,Sherwood,OR,Other,5 min,"I looked up in the sky, and right above me, about the height you'd see a landing airplane if you were near an airport, were two flying",45.3565,-122.8401
1982,Stewart State Park,OR,Formation,2-3 minutes,"Glowing, colored, 3 object, light formation, merging into one bright ball of white light, and then disappearing.",45.7391,-123.1996
1983,Portland,OR,Light,420,I witnessed several orb shape objects glowing bright red in Portland Oregon near SE 72nd off Harold around 8pm .,45.5231,-122.6765
1983,North Bend,OR,Oval,3-4 mins,"My wife, two kids, ages 9 and 13 and myself. We were going home east just turning from No.BAY Dr, onto No. Way. As we all looked up the",43.4065,-124.2243
1984,Eugene,OR,Triangle,10 minutes,"Large Black colored triangle shaped ship. Eugene, OR 1984",44.0521,-123.0868
1984,Bandon,OR,Rectangle,5,oregon coast rectangle football field sized white square lights,43.1190,-124.4084
1984,Waldport,OR,Light,10 minutes,Bright light of a fast moving craft frightened me in the night on the Oregon Coast.,44.4268,-124.0687
1985,Hermiston,OR,Other,45 seconds,"Me and my buddies were out camping, when we heard a muffled bang. We looked up and there was three bright flashes of blue light, then 3",45.8404,-119.2895
1985,Portland,OR,Light,15 mins,multiple points of light hovering? over the west hills of Portland that could disapear one at a time while I was watching them,45.5231,-122.6765
1985,Portland,OR,Light,10-15 mins,multiple points of bright light seen above city apparently motionless then dissapeared one by one.,45.5231,-122.6765
1985,Prineville,OR,Other,15 minutes,Small silver pyramid object just above the power lines observed for about fifteen minutes in the mid 80's,44.2998,-120.8345
1985,Cottage Grove,OR,Sphere,10 sec.s,"Orange ""golf ball"" ufo's fly over Dorena Lake.",43.7976,-123.0595
1985,Pendleton,OR,Rectangle,3 minutes,rectangle falling turning and flipping end over end,45.6721,-118.7886
1986,Newberg,OR,Triangle,30 min,"tranguler sighting on the west coast , lights , fast moving at times and chased by the airforce",45.3001,-122.9732
1986,Klamath Falls,OR,Circle,45 minutes,"BRIGHT OBJECT DROPPING ""FIRECRACKERS"" FROM IT - IT SEEMED TO KNOW I COULD SEE IT - VANISHED IN A TYPE OF EXPLOSION",42.2249,-121.7817
1986,Salem,OR,Cigar,25 minutes,Very Close Encounter.,44.9429,-123.0351
1987,Salem,OR,Sphere,,"Woman repts. past sighting of perfectly round, red globe floated across city. 2nd one appeared. Witnessed by reporter, too.",44.9429,-123.0351
1987,Seal Rock,OR,Sphere,Seconds,My wife and I are professional photographers and were doing some stock photo work at Seal Rock on the Oregon coast. I still don't know,44.4972,-124.0827
1987,Coos Bay,OR,Disk,1 hour,Dome type object went straight up with a little round object along side and below.Object kept moving up and down side to side and chang,43.3665,-124.2179
1987,Springfield,OR,Cigar,4 minutes,Cigar Shaped and extremely close,44.0462,-123.0220
1987,Roseburg (7 miles northwest of),OR,Oval,30 mins.,Two small glowing oval orange objects and one larger triangle craft in rural Oregon.,43.2165,-123.3417
1988,Clackamas,OR,Cylinder,45 seconds,"I know ""ancient history"" is frowned upon,but here goes.I've been around aircraft(experimental or otherwise) all my life,and nothing com",45.4076,-122.5704
1989,Baker City,OR,Unknown,10 - 15 minutes?,Two humanoid shapes visible inside lit window of craft.,44.7749,-117.8344
1989,Hebo,OR,Sphere,10-15 seconds,"Ball of orange light over Mount Hebo, OR",45.2293,-123.8595
1989,Beaverton,OR,Cylinder,10-20 seconds,Large cylinder seen at low altitude during daylight in urban area.,45.4871,-122.8037
1989,The Dalles,OR,Triangle,30 minutes,"I was watching a single light such as an airplane might do when it is coming at you, but it didn't move it just sat there, it was about",45.5946,-121.1787
1989,Redmond,OR,Triangle,10 to15 sec,It's been a long time since and have never officially reported it to anyone. I've talked about throughout the years. I use to fight Fo,44.2726,-121.1739
1989,Wolf Creek drainage (N of Hwy. 26),OR,Sphere,30 min,"We both saw a spherical glowing flying object come out of the west, head for Portland and get chased back by three fighter aircraft.",42.6954,-123.3953
1989,Glennwood,OR,Sphere,1 Minute,A brightly lit perfectly round sphere floated in front of the car at a traffic signal.,44.0444,-123.0336
1990,Eugene,OR,Light,3minutes,three vertical red lights in the sky,44.0521,-123.0868
1990,The Dalles,OR,Triangle,20 minutes,"Triangle shaped with lights moving slowly, no sound",45.5946,-121.1787
1990,Springfield,OR,Oval,20 min,orange ballon dripping sparklers,44.0462,-123.0220
1990,Willamina,OR,Rectangle,2 min,RAINBOW PHOTO IN OREGON SHOWS TRIANGLE OBJECT IN SKY.,45.0787,-123.4859
1990,Mt. Hood,OR,Sphere,11 seconds,"From a fixed point, the object zigzad north and south, covering a 16 miles distance in no more than a second or two.",45.3736,-121.6960
1990,Prineville (30 miles east of),OR,Light,about 4-6 seconds,Fast moving ball of light that can move at right angles.,44.2998,-120.8345
1991,Detroit,OR,Light,30 sec,"small flash, streak of light, light stopped, then went other way slowly.",44.7340,-122.1498
1991,Albany,OR,Egg,10-15 minutes,three black egg shapes,44.6350,-123.1059
1991,Mt. Hood,OR,Circle,3 seconds,"I saw a round object in a controlled fall from the sky, the obje went behind some clouds and did not reappear in its fall.",45.3736,-121.6960
1991,Grants Pass,OR,Light,8 hrs,Light appeared over mountain,42.4390,-123.3284
1991,Portland,OR,Cigar,1 minutes,It was a long cigar shaped object; no way its some thing we built.,45.5231,-122.6765
1992,Grants Pass,OR,Light,10 minutes,Going across sky. Thought it was airplane at first...until it started melting.,42.4390,-123.3284
1992,Lakeview,OR,Disk,5 minutes,Close to a mile wide saucer with windows seen in Southern Oregon in 1992 at dusk..,42.1888,-120.3458
1992,Tigard,OR,Unknown,1-2 minutes,"Lights 8-10 'v' shaped gliding across sky, no sound, gigantic, blacked out sky so no stars or planes could be seen.",45.4312,-122.7715
1992,Wilsonville,OR,Light,15 sec.,"Woman repts. seeing ""round, flashing lights"" moving S to N while in hospital.",45.2998,-122.7737
1993,Tillamook(Lees Camp),OR,Light,15 minutes,"we saw 3 lights ahead of us,aprx. 2000 ft up ,hovering above the mountain(north)we watched for aprx. 5 min.i look to my left(west) i sa",45.4562,-123.8440
1993,Lake of the Woods (Near; closest city Ashland - 30 mi.),OR,Light,30-45 min,"3 luminous objects moving extremely fast, instant directional changes, changed color My parents and I were observing the Perseid met",42.3787,-122.2122
1993,Portland,OR,Disk,15 seconds,No lights or sound 300 or 400 feet long looked like brushed aluminum saw it 1 or 2 miles away then vanished away.,45.5231,-122.6765
1993,Sandy,OR,Disk,15 seconds,2 saw it.,45.3973,-122.2615
1994,Mitchell,OR,,2 sec.,Two men observed a blue/white object streak down and disappear behind a nearby ridge. Cast light.,44.5665,-120.1533
1994,Portland,OR,Sphere,10 minutes,While in light aircraft observed object below and behind follow in a race track holding pattern. Observed changes in heading altitude a,45.5231,-122.6765
1994,Bend,OR,Disk,3.5 hours,it came up to us as fast as it left us and shined us hard with white/blueish lights. lots of energy felt...and wind,44.0583,-121.3153
1994,Drain,OR,Light,3-5 min.,"Large circle of light in the sky flashes brightly, then shrinks to star size and zig-zaggs away.",43.6587,-123.3187
1994,Oregon City,OR,,,Young woman reports sighting. (Facts unclear; awaiting written rept.),45.3573,-122.6068
1994,Canby,OR,,,"OR Air Nat. Guard Publ. Affairs Officer relays past sighting: Citizen reports sighting obj. ""size of football"" in sky.",45.2623,-122.6921
1994,Hillsboro,OR,Cigar,2 minutes,"Working in my garden, looked up and saw a cigar shaped craft proceeding south. It was very high and I didn't hear or expect to hear an",45.5229,-122.9898
1994,Hillsboro,OR,,1:00 min,"Driving down a busy street in Hillsboro,an acorn shaped craft caught my eye. I looked at the road and it disappeared.",45.5229,-122.9898
1994,Boring,OR,,,OR Air Nat. Guard Publ. Affairs Officer relays 2nd past sighting rept.: Citizen repts. UFO. (Facts not provided.),45.4314,-122.3735
1994,Grants Pass,OR,Changing,12 hours,"Thought of as a Dream for 20 Years, Recent Information Convinced me that Iv been Abducted by Aliens.",42.4390,-123.3284
1994,Sitka,OR,Oval,1 minute,"Small, silver, oval, about 1/2 mile out over bay, accelerated at enormous speeds, disappeared",57.0531,-135.3300
1994,Molalla (near),OR,Other,3 minutes,"black object in sky traveling above river, circle of light appearing to come from it lighting up river in just that area of light",45.1473,-122.5770
1995,Gladstone,OR,Triangle,,Woman witnessed triangular ship w/ white & blue lights. She & neighbors witnessed 5 ships. Reported mil. jets in area.,45.3807,-122.5948
1995,Beaverton,OR,,,Mother & daughter witness strange shafts of green light that appear to move around clouds. Second sighting.,45.4871,-122.8037
1995,Bend,OR,,73 min.,Woman observes three strange objects hovering in morning sky for 73 minutes. Very bright lights. Good rept.,44.0583,-121.3153
1995,Portland,OR,,15 min.,Man out walking during early morning observes three very colorful objects in southwest sky. They move.,45.5231,-122.6765
1995,Tidewater,OR,,,"Mother & son witness ""star,"" which began to move, first north, then south. No radar contact reported.",44.4112,-123.9004
1995,Tillamook,OR,,,"Woman witness very bright red, white, and blue light south of town. ""Like triangle.""",45.4562,-123.8440
1995,Cannon Beach,OR,,10 sec.,"Man in motel room sees ""flash of red light in eyes."" Sees bright light in room. Sees bright ""star"" below overcast to south.",45.8918,-123.9615
1995,Sprague River,OR,,,"Man was going to bed and noticed ""moving star."" Object appeared large, and was dipping and weaving. Disappeared",42.4554,-121.5042
1995,Portland,OR,,40 min.,"Man repts. strange green light behind clouds. Seemed to generate ""ripple"" effect in atmosphere.",45.5231,-122.6765
1995,Florence,OR,,,"Man called to report that he and his daughter had been followed in their car by a huge, bizarre obj. Est. width was 450 feet!",43.9826,-124.0988
1995,Portland,OR,,15 sec.,"Woman sees four bright lights moving across sky, w/ red, flashing light on tail. Loud sound. Flew south.",45.5231,-122.6765
1995,Portland,OR,,,"Man witnessed four lights on dark ship, w/ red blinking light on tail. Heard sound like ""blimp."" Other repts.",45.5231,-122.6765
1995,Portland,OR,,2 sec.,"Man witnessed bright obj. ""like ice cream cone"" streak across sky above city in arc path. F-16's reported.",45.5231,-122.6765
1995,Molalla,OR,,10 min.,"Young woman on rural road witnesses strange, bright obj.. Round on top, pointed on bottom.",45.1473,-122.5770
1995,Florence,OR,,15 min.,Man calls to rept. lengthy sighting over city. Sends newspaper article. Reported by many to local police.,43.9826,-124.0988
1995,Eugene,OR,,,Man reports strange flash of light struck hood of his car. No sighting of object.,44.0521,-123.0868
1995,Albany,OR,Other,1 or 2 minutes,There were bright bursts of color in a concentrated area of cloud for a couple of minutes.,44.6350,-123.1059
1995,Newport,OR,,,"While looking at stars, man sees ""satellite."" 2nd obj. streaks up to 1st, merges w/ it. Then, 3rd obj. streaks up to 2 others.",44.6368,-124.0535
1995,Oregon City,OR,,1 hour,Woman repts. two objects in proximity; witnessed two nights sequentially in same part of sky. (Possible stars??),45.3573,-122.6068
1995,Portland,OR,,,"Woman in hammock witnesses brightly lighted ""red ball"" descend from sky, fly into garage! Ascends, flies to 2nd obj. in sky.",45.5231,-122.6765
1995,Beaver Creek,OR,,30 min.,"Five witnesses rept. observing strange light in eastern sky. Saw it on 21FE and 22FE, as well. (Possible star?)",45.2879,-122.5353
1995,Portland,OR,,75 min.,"Man, lying on bed, sees very bright ball of light enter apt.. Could feel heat from obj., felt paralyzed. Loud humming above",45.5231,-122.6765
1995,Lebanon,OR,,,"Woman repts. seeing two large, bright objects, like ""funnels of light,"" in eastern sky from top of Snow Peak.",44.5365,-122.9070
1995,Gresham,OR,,10 sec.,"Man repts. very clear sighting of a very bright disc, below clouds flying from SW sky. Made zig-zag movements, flew off.",45.5001,-122.4302
1995,Starkey,OR,,20 min.,"Experienced logger repts. three very bright lights in morning sky. Middle one rises, accelerates into distance; others follow!",45.2215,-118.4258
1995,Dayton,OR,,,"Man reports witnessing ""diamond shaped"" object in sky. (Facts incomplete.)",45.2207,-123.0762
1995,Portland,OR,,5 min.,"Man repts. seeing silver flash, then sees silver, shiny craft w/ thin fuselage, but no wings! Drifted off, disappeared from sight.",45.5231,-122.6765
1995,Lake Oswego,OR,,30 min.,"Woman sees bizarre disc outside house. Looked like ""red/orange circle w/ blurred edges.""",45.4207,-122.6706
1995,W. Salem,OR,,20 min.,Man w/ two brothers witness 7-8 discs at high altitude. One obj. larger than others. Multiple calls to 911; MUFON investigating.,44.9504,-123.0701
1995,Eagle Creek,OR,,45 sec.,"Comm. pilot/ATP (14k hrs.) witnesses large, extremely bright, flaming obj. descend steeply in W sky. Dramatic. Good rept.",45.3575,-122.3589
1995,Madras,OR,Other,3-3 1/2 hours,We were possibly abducted by a pyramid shaped UFO? while traveling in eastern oregon.,44.6335,-121.1295
1995,Hillsboro,OR,,,"Man repts. ""huge"" flaming obj. w/ enormous flaming tail descend at 60 deg. below horizontal. Obj. appeared to burn out.",45.5229,-122.9898
1995,Drain,OR,Circle,est. 5 min.,Bright light flashes and shrinks before zipping off.,43.6587,-123.3187
1995,Oregon City,OR,,90 min.,"Couple witness multiple round, or oblong, lights in night sky. Positioned in circle. Seen to move south to north, then reverse course.",45.3573,-122.6068
1995,Portland,OR,,,Man reports seeing bizarre sighting while aboard Flight #725 enroute from Denver to Portland.,45.5231,-122.6765
1995,Klamath Falls,OR,,,"Man repts. bright obj. overhead, ""brighter than Jupiter."" Moves slowly to SE, enters haze at 15' K, disappears from view.",42.2249,-121.7817
1995,Medford,OR,Disk,3-4 seconds,A metallic disc with a brilliant amber colored light passed directly overhead at incredible speed at low altitude.,42.3265,-122.8756
1995,Bonanza,OR,,60 sec.,"Woman witnesses four very bright yellow lights appear, then disappear sequentially. (Note: Was military flares over local airport.)",42.1988,-121.4061
1995,Beaverton,OR,,7 min.,"Woman repts. hovering light over nearby field. Hovered, changed colors, moved very slowly. Later, saw 5 lights in formation.",45.4871,-122.8037
1995,Portland,OR,,,MUFON investigator reports her mother witnessed four discs in formation over Portland.,45.5231,-122.6765
1995,Portland,OR,,10 sec.,"Woman witnesses round, black, disc-shaped craft rise out of Pier Park (?). Looked ""like obsidian."" Dark, but reflected street lights.",45.5231,-122.6765
1995,Oregon City,OR,,30 min.,"Former U.S.Army officer (Ph.D.) reports strange cluster of lights, ""like Christmas lights,"" moving overhead. Neighbor sees object.",45.3573,-122.6068
1995,Beaverton,OR,,15 sec.,"Woman sees large bluish-white light streaking below clouds. Suddenly turns right, disappears from sight.",45.4871,-122.8037
1995,Silverton,OR,Triangle,5 minutes,Triangular_Precision_manuevering_1995,45.0051,-122.7831
1995,Beaverton,OR,,,"Father & daughter see strange obj. high in sky which ""looked like a parachutist drifting."" Obj. moved E then W, disappeared.",45.4871,-122.8037
1995,Medford,OR,,15 sec.,"Man repts. seeing a strange, metallic obj. ""w/ no protuberances, but dome in center,"" pacing a landing C-130 aircraft. Disappears.",42.3265,-122.8756
1995,Lost Lake,OR,,1 minute,"Man & wife witness ""line of 8-9 lights in a row."" Center light(s) blinked on and off. Lights then streak out across sky. Strange.",45.4900,-121.8223
1995,Oregon City,OR,,30 sec.,Family camped 20 mi. S of Mt. Hood witness strange object streak through 50 deg. across sky. Other observers in campground.,45.3573,-122.6068
1995,Medford,OR,Circle,25,3 silver circular shaped objects at different time spotted in the skies over Southern Oregon in 1995. All were the same in shape and co,42.3265,-122.8756
1995,Portland,OR,,,"Man relays radio repts. about large, bright object, ""diameter of full moon,"" seen over W OR. Vis. through overcast, beeping sound!",45.5231,-122.6765
1995,Lake Oswego,OR,,,"Man sees w/ binocs. motionless, white obj.. Suddenly disappears then reappears in other part of sky. Red, metallic in appearance.",45.4207,-122.6706
1995,Wilsonville,OR,Light,3 minutes,Bright lights from miles away to within 150 yds and 300 ft in the air.,45.2998,-122.7737
1995,Merlin,OR,,,Woman relays report of some type of UFO sighting in town. (Limited facts.),42.5184,-123.4203
1995,Portland,OR,,20 sec.,"Man on way to work witnesses 2 bright, white ""stars"" over the Columbia R. Suddenly, started doing incredible maneuvers. Silent.",45.5231,-122.6765
1995,Lake Oswego,OR,,,"Man reports seeing peculiar flashing light above house in daytime sky. Observed ""black disc overgarage.""",45.4207,-122.6706
1995,Scappoose,OR,,3 min.,"Three young people witness a triangular-shaped craft hovering nearby. Craft had 2 white lights, 1 red. Maneuvered slowly.",45.7543,-122.8776
1995,Lake Oswego,OR,,,"Man reports witnessing ""black disc"" above his garage. Obj. was ""flipping. (Same person reports other sightings on other dates.)",45.4207,-122.6706
1995,Lake Oswego,OR,,5 sec.,Man reports brief sighting of peculiar white object in daytime sky. (See later sighting on same day.),45.4207,-122.6706
1995,Lake Oswego,OR,,90 sec.,"Man reports witnessing 2 ""diamond-shaped objects overhead. (Second sighting on same day.)",45.4207,-122.6706
1995,Beaverton,OR,,45 sec.,"Man's dog suddenly starts acting very bizarrely, threatens to bite him. He takes dog outside, witnesses bizarre light hover, leave.",45.4871,-122.8037
1995,Medford,OR,Fireball,25 seconds,We saw a bright light in the sky that lit up the entire mountain side as bright as daylight as it passed overhead.,42.3265,-122.8756
